metro,n_properties,pct_winners,median_site_ratio,mean_site_ratio,std_site_ratio,H0_count,H0_mean_persistence,H0_max_persistence,H0_std_persistence,H0_total_persistence,H0_entropy,H1_count,H1_mean_persistence,H1_max_persistence,H1_std_persistence,H1_total_persistence,H1_entropy
"Cook County, IL",672719,57.46470666058191,0.2209092795439405,0.24471269367280984,0.10544975922624758,,,,,,,,,,,,
"Philadelphia, PA",300000,13.404333333333332,0.2,0.19118037602030197,0.06999730107048564,2914.0,0.16752052192232006,1.0798770189285278,0.11560905866012922,488.15480088164065,11.203588311417883,580.0,0.09664554893328198,1.8147771954536438,0.16140190331247503,56.05441838130355,8.15141770743233
"Washington, D.C.",215719,62.03857796485243,0.3820118407180125,0.4475152338056498,0.20123319875727544,2997.0,0.1097862515833153,0.619293749332428,0.09229231055553225,329.02939599519596,11.092910172772026,544.0,0.06632564679089495,1.0800355672836304,0.1036242501235522,36.081151854246855,8.028374805088923
