,RMSE,MAE,MAPE,R²,Median Ratio,COD,PRD
Ridge (Val),143707.8694134911,98439.02316937997,0.3838490545064165,0.7296608513378752,0.9958411690268163,38.542952381274446,1.1604605105016623
Ridge (Test),154592.91078478892,107267.7175465866,0.36152306361083025,0.7196528479668827,0.9171433517265538,38.41367019828688,1.1544421096896778
XGBoost (Val),113160.01578717797,75285.32632981821,0.3167401237298038,0.8324649132660122,1.0019806408857237,31.610680053049045,1.155177844312468
XGBoost (Test),119687.88109822189,82194.33399421029,0.3028627707089246,0.8320620803074941,0.9531473484848485,31.37386288908556,1.1565837064821283
LightGBM (Val),112585.3528597498,74769.79086573301,0.31150865181731635,0.8341621866707652,0.9910132541621479,31.41843942852652,1.152239392300246
LightGBM (Test),120661.81253168892,83130.07582675751,0.293929095262681,0.829317851191395,0.9293372230967979,30.664697391781438,1.1465362038371936
